"country","year","vat_revenue_ratio","iso_2","iso_3"
"Czech Republic","1976",NA,"CZ","CZE"
"Czech Republic","2014",0.58,"CZ","CZE"
"Czech Republic","1988",NA,"CZ","CZE"
"Czech Republic","2012",0.57,"CZ","CZE"
"Czech Republic","2013",0.56,"CZ","CZE"
"Czech Republic","2010",0.52,"CZ","CZE"
"Czech Republic","1992",NA,"CZ","CZE"
"Czech Republic","1996",0.43,"CZ","CZE"
"Czech Republic","2000",0.42,"CZ","CZE"
"Czech Republic","2011",0.55,"CZ","CZE"
"Czech Republic","2017",0.62,"CZ","CZE"
"Czech Republic","2009",0.55,"CZ","CZE"
"Czech Republic","2005",0.56,"CZ","CZE"
"Czech Republic","2007",0.54,"CZ","CZE"
"Czech Republic","1980",NA,"CZ","CZE"
"Czech Republic","2008",0.56,"CZ","CZE"
"Czech Republic","2018",0.61,"CZ","CZE"
"Czech Republic","1984",NA,"CZ","CZE"
"Denmark","2015",0.58,"DK","DNK"
"Denmark","2005",0.62,"DK","DNK"
"Denmark","1992",0.56,"DK","DNK"
"Denmark","2012",0.59,"DK","DNK"
"Denmark","2010",0.57,"DK","DNK"
"Denmark","2017",0.61,"DK","DNK"
"Denmark","2006",0.64,"DK","DNK"
"Denmark","2018",0.62,"DK","DNK"
"Denmark","2016",0.6,"DK","DNK"
"Denmark","1988",0.599010396965927,"DK","DNK"
"Denmark","2014",0.57,"DK","DNK"
"Denmark","2000",0.59,"DK","DNK"
"Denmark","2007",0.65,"DK","DNK"
"Denmark","2013",0.57,"DK","DNK"
"Denmark","2009",0.58,"DK","DNK"
"Denmark","1996",0.57,"DK","DNK"
"Denmark","1976",0.63432571741345,"DK","DNK"
"Denmark","1984",0.601340215746281,"DK","DNK"
"Denmark","2008",0.61,"DK","DNK"
"Denmark","2011",0.58,"DK","DNK"
"Denmark","1980",0.604630134589147,"DK","DNK"
"Estonia","2006",0.82,"EE","EST"
"Estonia","2010",0.66,"EE","EST"
"Estonia","2015",0.72,"EE","EST"
"Estonia","2012",0.69,"EE","EST"
"Estonia","2018",0.74,"EE","EST"
"Estonia","2000",0.71,"EE","EST"
"Estonia","2016",0.72,"EE","EST"
"Estonia","2005",0.7,"EE","EST"
"Estonia","1976",NA,"EE","EST"
"Estonia","1996",0.72,"EE","EST"
"Estonia","1980",NA,"EE","EST"
"Estonia","2011",0.67,"EE","EST"
"Estonia","1992",NA,"EE","EST"
"Estonia","1984",NA,"EE","EST"
"Estonia","2008",0.67,"EE","EST"
"Estonia","1988",NA,"EE","EST"
"Estonia","2017",0.74,"EE","EST"
"Estonia","2009",0.73,"EE","EST"
"Estonia","2013",0.66,"EE","EST"
"Estonia","2007",0.81,"EE","EST"
"Estonia","2014",0.69,"EE","EST"
"Finland","2006",0.61,"FI","FIN"
"Finland","2005",0.61,"FI","FIN"
"Finland","1996",0.54,"FI","FIN"
"Finland","2014",0.55,"FI","FIN"
"Finland","2011",0.56,"FI","FIN"
"Finland","1976",NA,"FI","FIN"
"Finland","1992",NA,"FI","FIN"
"Finland","1988",NA,"FI","FIN"
"Finland","2013",0.55,"FI","FIN"
"Finland","2015",0.54,"FI","FIN"
"Finland","2017",0.56,"FI","FIN"
"Finland","2018",0.57,"FI","FIN"
"Finland","2007",0.6,"FI","FIN"
"Finland","2008",0.58,"FI","FIN"
"Finland","2010",0.55,"FI","FIN"
"Finland","2016",0.55,"FI","FIN"
"Finland","1984",NA,"FI","FIN"
"Finland","2000",0.61,"FI","FIN"
"Finland","2012",0.56,"FI","FIN"
"Finland","2009",0.56,"FI","FIN"
"Finland","1980",NA,"FI","FIN"
"France","2011",0.48,"FR","FRA"
"France","2005",0.52,"FR","FRA"
"France","2000",0.51,"FR","FRA"
"France","1976",0.652770691452783,"FR","FRA"
"France","2010",0.48,"FR","FRA"
"France","2008",0.5,"FR","FRA"
"France","2015",0.49,"FR","FRA"
"France","2016",0.49,"FR","FRA"
"France","2007",0.51,"FR","FRA"
"France","1988",0.61684859903732,"FR","FRA"
"France","1992",0.54,"FR","FRA"
"France","2006",0.52,"FR","FRA"
"France","2014",0.48,"FR","FRA"
"France","2009",0.47,"FR","FRA"
"France","1980",0.690844635301038,"FR","FRA"
"France","2012",0.48,"FR","FRA"
"France","2013",0.48,"FR","FRA"
"France","2017",0.5,"FR","FRA"
"France","2018",0.51,"FR","FRA"
"France","1996",0.53,"FR","FRA"
"France","1984",0.624735437913122,"FR","FRA"
"Germany","2005",0.55,"DE","DEU"
"Germany","2013",0.55,"DE","DEU"
"Germany","2011",0.56,"DE","DEU"
"Germany","1992",0.61,"DE","DEU"
"Germany","2012",0.56,"DE","DEU"
"Germany","1976",0.549278509790754,"DE","DEU"
"Germany","1980",0.560615052738783,"DE","DEU"
"Germany","2015",0.56,"DE","DEU"
"Germany","2006",0.57,"DE","DEU"
"Germany","2007",0.55,"DE","DEU"
"Germany","2017",0.56,"DE","DEU"
"Germany","2018",0.57,"DE","DEU"
"Germany","2009",0.55,"DE","DEU"
"Germany","1996",0.6,"DE","DEU"
"Germany","2016",0.56,"DE","DEU"
"Germany","1988",0.494293381917722,"DE","DEU"
"Germany","2008",0.56,"DE","DEU"
"Germany","1984",0.513728565969569,"DE","DEU"
"Germany","2000",0.61,"DE","DEU"
"Germany","2014",0.55,"DE","DEU"
"Germany","2010",0.55,"DE","DEU"
"Greece","2018",0.44,"GR","GRC"
"Greece","2012",0.37,"GR","GRC"
"Greece","2017",0.43,"GR","GRC"
"Greece","2011",0.37,"GR","GRC"
"Greece","2010",0.44,"GR","GRC"
"Greece","2006",0.46,"GR","GRC"
"Greece","2000",0.45,"GR","GRC"
"Greece","1976",NA,"GR","GRC"
"Greece","2009",0.39,"GR","GRC"
"Greece","2005",0.47,"GR","GRC"
"Greece","1996",0.41,"GR","GRC"
"Greece","2015",0.38,"GR","GRC"
"Greece","1980",NA,"GR","GRC"
"Greece","2008",0.46,"GR","GRC"
"Greece","1992",0.47,"GR","GRC"
"Greece","1984",NA,"GR","GRC"
"Greece","2007",0.48,"GR","GRC"
"Greece","2013",0.36,"GR","GRC"
"Greece","1988",0.459617242640311,"GR","GRC"
"Greece","2014",0.37,"GR","GRC"
"Greece","2016",0.44,"GR","GRC"
"Hungary","1976",NA,"HU","HUN"
"Hungary","2015",0.59,"HU","HUN"
"Hungary","2005",0.48,"HU","HUN"
"Hungary","1992",0.3,"HU","HUN"
"Hungary","2006",0.54,"HU","HUN"
"Hungary","2013",0.52,"HU","HUN"
"Hungary","2000",0.52,"HU","HUN"
"Hungary","1996",0.43,"HU","HUN"
"Hungary","2018",0.59,"HU","HUN"
"Hungary","2012",0.52,"HU","HUN"
"Hungary","2016",0.55,"HU","HUN"
"Hungary","2017",0.56,"HU","HUN"
"Hungary","2014",0.56,"HU","HUN"
"Hungary","2009",0.61,"HU","HUN"
"Hungary","1980",NA,"HU","HUN"
"Hungary","1988",NA,"HU","HUN"
"Hungary","2008",0.56,"HU","HUN"
"Hungary","2007",0.58,"HU","HUN"
"Hungary","1984",NA,"HU","HUN"
"Hungary","2010",0.52,"HU","HUN"
"Hungary","2011",0.51,"HU","HUN"
"Iceland","2014",0.44,"IS","ISL"
"Iceland","1976",NA,"IS","ISL"
"Iceland","2005",0.61,"IS","ISL"
"Iceland","2015",0.51,"IS","ISL"
"Iceland","1996",0.54,"IS","ISL"
"Iceland","2009",0.44,"IS","ISL"
"Iceland","2018",0.55,"IS","ISL"
"Iceland","2000",0.58,"IS","ISL"
"Iceland","1980",NA,"IS","ISL"
"Iceland","2016",0.53,"IS","ISL"
"Iceland","2010",0.42,"IS","ISL"
"Iceland","2006",0.64,"IS","ISL"
"Iceland","2013",0.43,"IS","ISL"
"Iceland","1992",0.63,"IS","ISL"
"Iceland","2017",0.57,"IS","ISL"
"Iceland","2011",0.42,"IS","ISL"
"Iceland","2012",0.43,"IS","ISL"
"Iceland","2007",0.59,"IS","ISL"
"Iceland","2008",0.52,"IS","ISL"
"Iceland","1988",NA,"IS","ISL"
"Iceland","1984",NA,"IS","ISL"
"Ireland","1992",0.45,"IE","IRL"
"Ireland","1976",0.297184516347059,"IE","IRL"
"Ireland","2005",0.66,"IE","IRL"
"Ireland","1996",0.52,"IE","IRL"
"Ireland","2014",0.48,"IE","IRL"
"Ireland","2015",0.48,"IE","IRL"
"Ireland","2016",0.49,"IE","IRL"
"Ireland","2009",0.46,"IE","IRL"
"Ireland","2018",0.49,"IE","IRL"
"Ireland","2000",0.61,"IE","IRL"
"Ireland","2012",0.44,"IE","IRL"
"Ireland","2017",0.48,"IE","IRL"
"Ireland","2011",0.46,"IE","IRL"
"Ireland","2006",0.67,"IE","IRL"
"Ireland","2013",0.45,"IE","IRL"
"Ireland","2007",0.63,"IE","IRL"
"Ireland","2010",0.47,"IE","IRL"
"Ireland","1984",0.436938080120609,"IE","IRL"
"Ireland","1988",0.415603938427874,"IE","IRL"
"Ireland","1980",0.209741400710164,"IE","IRL"
"Ireland","2008",0.55,"IE","IRL"
"Israel","1976",NA,"IL","ISR"
"Israel","2016",0.63,"IL","ISR"
"Israel","2006",0.62,"IL","ISR"
"Israel","2012",0.64,"IL","ISR"
"Israel","2009",0.65,"IL","ISR"
"Israel","1988",NA,"IL","ISR"
"Israel","2005",0.61,"IL","ISR"
"Israel","2013",0.65,"IL","ISR"
"Israel","1980",NA,"IL","ISR"
"Israel","2015",0.63,"IL","ISR"
"Israel","2010",0.65,"IL","ISR"
"Israel","2011",0.66,"IL","ISR"
"Israel","2007",0.66,"IL","ISR"
"Israel","1992",NA,"IL","ISR"
"Israel","2008",0.65,"IL","ISR"
"Israel","1996",0.66,"IL","ISR"
"Israel","2014",0.63,"IL","ISR"
"Israel","1984",NA,"IL","ISR"
"Israel","2000",0.62,"IL","ISR"
"Israel","2017",0.63,"IL","ISR"
"Israel","2018",0.63,"IL","ISR"
"Italy","2006",0.41,"IT","ITA"
"Italy","2005",0.39,"IT","ITA"
"Italy","1976",0.440902005744885,"IT","ITA"
"Italy","2016",0.37,"IT","ITA"
"Italy","2015",0.37,"IT","ITA"
"Italy","2009",0.36,"IT","ITA"
"Italy","2008",0.39,"IT","ITA"
"Italy","1984",0.381335459770484,"IT","ITA"
"Italy","2007",0.41,"IT","ITA"
"Italy","2013",0.37,"IT","ITA"
"Italy","1988",0.402894961518065,"IT","ITA"
"Italy","2014",0.37,"IT","ITA"
"Italy","2012",0.37,"IT","ITA"
"Italy","2000",0.43,"IT","ITA"
"Italy","1996",0.39,"IT","ITA"
"Italy","1992",0.37,"IT","ITA"
"Italy","2010",0.4,"IT","ITA"
"Italy","2017",0.39,"IT","ITA"
"Italy","1980",0.416323961423967,"IT","ITA"
"Italy","2018",0.38,"IT","ITA"
"Italy","2011",0.4,"IT","ITA"
"Japan","2015",0.73,"JP","JPN"
"Japan","2006",0.7,"JP","JPN"
"Japan","2013",0.69,"JP","JPN"
"Japan","2008",0.66,"JP","JPN"
"Japan","2005",0.7,"JP","JPN"
"Japan","1996",0.71,"JP","JPN"
"Japan","2007",0.68,"JP","JPN"
"Japan","2000",0.68,"JP","JPN"
"Japan","1988",NA,"JP","JPN"
"Japan","1976",NA,"JP","JPN"
"Japan","2012",0.68,"JP","JPN"
"Japan","1992",0.68,"JP","JPN"
"Japan","2009",0.66,"JP","JPN"
"Japan","1984",NA,"JP","JPN"
"Japan","2017",0.72,"JP","JPN"
"Japan","1980",NA,"JP","JPN"
"Japan","2018",0.72,"JP","JPN"
"Japan","2014",0.69,"JP","JPN"
"Japan","2016",0.72,"JP","JPN"
"Japan","2010",0.68,"JP","JPN"
"Japan","2011",0.68,"JP","JPN"
"Korea","2000",0.58,"KR","KOR"
"Korea","1996",0.57,"KR","KOR"
"Korea","2016",0.66,"KR","KOR"
"Korea","2005",0.61,"KR","KOR"
"Korea","2012",0.66,"KR","KOR"
"Korea","2006",0.6,"KR","KOR"
"Korea","1976",NA,"KR","KOR"
"Korea","2017",0.69,"KR","KOR"
"Korea","2011",0.64,"KR","KOR"
"Korea","1992",0.62,"KR","KOR"
"Korea","2015",0.6,"KR","KOR"
"Korea","2013",0.64,"KR","KOR"
"Korea","2010",0.64,"KR","KOR"
"Korea","2009",0.62,"KR","KOR"
"Korea","2018",0.68,"KR","KOR"
"Korea","2007",0.6,"KR","KOR"
"Korea","2014",0.66,"KR","KOR"
"Korea","2008",0.6,"KR","KOR"
"Korea","1984",NA,"KR","KOR"
"Korea","1988",NA,"KR","KOR"
"Korea","1980",NA,"KR","KOR"
"Latvia","2005",0.57,"LV","LVA"
"Latvia","2006",0.61,"LV","LVA"
"Latvia","2015",0.52,"LV","LVA"
"Latvia","2013",0.49,"LV","LVA"
"Latvia","2017",0.54,"LV","LVA"
"Latvia","2014",0.51,"LV","LVA"
"Latvia","2018",0.58,"LV","LVA"
"Latvia","1976",NA,"LV","LVA"
"Latvia","2000",0.51,"LV","LVA"
"Latvia","1988",NA,"LV","LVA"
"Latvia","2011",0.42,"LV","LVA"
"Latvia","1984",NA,"LV","LVA"
"Latvia","2016",0.54,"LV","LVA"
"Latvia","2012",0.46,"LV","LVA"
"Latvia","2010",0.42,"LV","LVA"
"Latvia","2007",0.61,"LV","LVA"
"Latvia","2008",0.49,"LV","LVA"
"Latvia","1980",NA,"LV","LVA"
"Latvia","1996",0.53,"LV","LVA"
"Latvia","2009",0.38,"LV","LVA"
"Latvia","1992",NA,"LV","LVA"
"Lithuania","2015",0.51,"LT","LTU"
"Lithuania","2005",0.52,"LT","LTU"
"Lithuania","1980",NA,"LT","LTU"
"Lithuania","2014",0.51,"LT","LTU"
"Lithuania","2006",0.56,"LT","LTU"
"Lithuania","2018",0.53,"LT","LTU"
"Lithuania","2000",0.52,"LT","LTU"
"Lithuania","1976",NA,"LT","LTU"
"Lithuania","2010",0.49,"LT","LTU"
"Lithuania","2013",0.5,"LT","LTU"
"Lithuania","1992",NA,"LT","LTU"
"Lithuania","2012",0.5,"LT","LTU"
"Lithuania","2009",0.47,"LT","LTU"
"Lithuania","2011",0.51,"LT","LTU"
"Lithuania","2016",0.51,"LT","LTU"
"Lithuania","2017",0.53,"LT","LTU"
"Lithuania","2008",0.58,"LT","LTU"
"Lithuania","1984",NA,"LT","LTU"
"Lithuania","2007",0.61,"LT","LTU"
"Lithuania","1996",0.46,"LT","LTU"
"Lithuania","1988",NA,"LT","LTU"
"Luxembourg","2006",0.82,"LU","LUX"
"Luxembourg","2005",0.85,"LU","LUX"
"Luxembourg","2000",0.68,"LU","LUX"
"Luxembourg","1976",0.589846610628681,"LU","LUX"
"Luxembourg","2013",1.16,"LU","LUX"
"Luxembourg","2017",0.86,"LU","LUX"
"Luxembourg","2018",0.89,"LU","LUX"
"Luxembourg","2014",1.23,"LU","LUX"
"Luxembourg","2008",0.96,"LU","LUX"
"Luxembourg","2010",0.99,"LU","LUX"
"Luxembourg","2016",0.92,"LU","LUX"
"Luxembourg","2007",0.96,"LU","LUX"
"Luxembourg","2015",0.95,"LU","LUX"
"Luxembourg","2012",1.11,"LU","LUX"
"Luxembourg","1984",0.639959292250369,"LU","LUX"
"Luxembourg","1992",0.45,"LU","LUX"
"Luxembourg","2011",1.06,"LU","LUX"
"Luxembourg","1980",0.609171785694863,"LU","LUX"
"Luxembourg","1988",0.661936481180465,"LU","LUX"
"Luxembourg","2009",0.97,"LU","LUX"
"Luxembourg","1996",0.54,"LU","LUX"
"Mexico","2013",0.28,"MX","MEX"
"Mexico","2012",0.31,"MX","MEX"
"Mexico","2017",0.32,"MX","MEX"
"Mexico","2014",0.32,"MX","MEX"
"Mexico","1976",NA,"MX","MEX"
"Mexico","2010",0.32,"MX","MEX"
"Mexico","2016",0.33,"MX","MEX"
"Mexico","1996",0.21,"MX","MEX"
"Mexico","2009",0.3,"MX","MEX"
"Mexico","2005",0.29,"MX","MEX"
"Mexico","2011",0.31,"MX","MEX"
"Mexico","1992",0.3,"MX","MEX"
"Mexico","1980",0.325657469186087,"MX","MEX"
"Mexico","2008",0.33,"MX","MEX"
"Mexico","2015",0.32,"MX","MEX"
"Mexico","2006",0.32,"MX","MEX"
"Mexico","2007",0.32,"MX","MEX"
"Mexico","2000",0.25,"MX","MEX"
"Mexico","2018",0.34,"MX","MEX"
"Mexico","1984",0.270881048380092,"MX","MEX"
"Mexico","1988",0.254585651472297,"MX","MEX"
"Netherlands","2015",0.49,"NL","NLD"
"Netherlands","1992",0.55,"NL","NLD"
"Netherlands","2011",0.52,"NL","NLD"
"Netherlands","2006",0.57,"NL","NLD"
"Netherlands","1976",0.473745090830872,"NL","NLD"
"Netherlands","2005",0.55,"NL","NLD"
"Netherlands","2018",0.53,"NL","NLD"
"Netherlands","2012",0.52,"NL","NLD"
"Netherlands","2013",0.47,"NL","NLD"
"Netherlands","2014",0.47,"NL","NLD"
"Netherlands","1980",0.514869325956913,"NL","NLD"
"Netherlands","1988",0.538927853287132,"NL","NLD"
"Netherlands","2009",0.52,"NL","NLD"
"Netherlands","2007",0.58,"NL","NLD"
"Netherlands","2000",0.57,"NL","NLD"
"Netherlands","1996",0.54,"NL","NLD"
"Netherlands","2010",0.54,"NL","NLD"
"Netherlands","2017",0.52,"NL","NLD"
"Netherlands","2008",0.56,"NL","NLD"
"Netherlands","1984",0.494009597452557,"NL","NLD"
"Netherlands","2016",0.51,"NL","NLD"
"New Zealand","2015",0.97,"NZ","NZL"
"New Zealand","2013",0.94,"NZ","NZL"
"New Zealand","2018",0.99,"NZ","NZL"
"New Zealand","2012",0.94,"NZ","NZL"
"New Zealand","2006",1.03,"NZ","NZL"
"New Zealand","1984",NA,"NZ","NZL"
"New Zealand","2014",0.96,"NZ","NZL"
"New Zealand","2011",0.93,"NZ","NZL"
"New Zealand","2005",1.03,"NZ","NZL"
"New Zealand","2008",0.96,"NZ","NZL"
"New Zealand","2017",0.99,"NZ","NZL"
"New Zealand","2016",0.96,"NZ","NZL"
"New Zealand","2010",1.1,"NZ","NZL"
"New Zealand","2000",0.99,"NZ","NZL"
"New Zealand","1976",NA,"NZ","NZL"
"New Zealand","1992",0.96,"NZ","NZL"
"New Zealand","2009",0.97,"NZ","NZL"
"New Zealand","1996",0.99,"NZ","NZL"
"New Zealand","1988",0.890891918528252,"NZ","NZL"
"New Zealand","1980",NA,"NZ","NZL"
"New Zealand","2007",0.96,"NZ","NZL"
"Norway","2005",0.57,"NO","NOR"
"Norway","2016",0.57,"NO","NOR"
"Norway","2000",0.67,"NO","NOR"
"Norway","2006",0.61,"NO","NOR"
"Norway","1980",0.659109241604816,"NO","NOR"
"Norway","1984",0.634690649843064,"NO","NOR"
"Norway","2017",0.57,"NO","NOR"
"Norway","2018",0.58,"NO","NOR"
"Norway","1976",0.661876542799438,"NO","NOR"
"Norway","1992",0.58,"NO","NOR"
"Norway","1988",0.692115159210783,"NO","NOR"
"Norway","2008",0.57,"NO","NOR"
"Norway","2015",0.56,"NO","NOR"
"Norway","2014",0.56,"NO","NOR"
"Norway","1996",0.61,"NO","NOR"
"Norway","2012",0.57,"NO","NOR"
"Norway","2013",0.57,"NO","NOR"
"Norway","2011",0.56,"NO","NOR"
"Norway","2009",0.55,"NO","NOR"
"Norway","2010",0.56,"NO","NOR"
"Norway","2007",0.63,"NO","NOR"
"Poland","1976",NA,"PL","POL"
"Poland","2015",0.44,"PL","POL"
"Poland","1980",NA,"PL","POL"
"Poland","2000",0.42,"PL","POL"
"Poland","2007",0.53,"PL","POL"
"Poland","2012",0.43,"PL","POL"
"Poland","1996",0.42,"PL","POL"
"Poland","1984",NA,"PL","POL"
"Poland","2006",0.51,"PL","POL"
"Poland","1992",0,"PL","POL"
"Poland","2018",0.52,"PL","POL"
"Poland","1988",NA,"PL","POL"
"Poland","2009",0.45,"PL","POL"
"Poland","2014",0.44,"PL","POL"
"Poland","2011",0.47,"PL","POL"
"Poland","2016",0.45,"PL","POL"
"Poland","2013",0.42,"PL","POL"
"Poland","2010",0.47,"PL","POL"
"Poland","2005",0.47,"PL","POL"
"Poland","2017",0.5,"PL","POL"
"Poland","2008",0.5,"PL","POL"
"Portugal","2000",0.6,"PT","PRT"
"Portugal","1996",0.55,"PT","PRT"
"Portugal","2018",0.52,"PT","PRT"
"Portugal","2014",0.49,"PT","PRT"
"Portugal","1988",0.446855606925465,"PT","PRT"
"Portugal","2005",0.56,"PT","PRT"
"Portugal","1992",0.46,"PT","PRT"
"Portugal","2013",0.46,"PT","PRT"
"Portugal","1984",NA,"PT","PRT"
"Portugal","1976",NA,"PT","PRT"
"Portugal","2006",0.51,"PT","PRT"
"Portugal","2009",0.43,"PT","PRT"
"Portugal","2011",0.45,"PT","PRT"
"Portugal","2008",0.49,"PT","PRT"
"Portugal","2012",0.47,"PT","PRT"
"Portugal","2017",0.51,"PT","PRT"
"Portugal","2010",0.48,"PT","PRT"
"Portugal","2015",0.5,"PT","PRT"
"Portugal","2016",0.49,"PT","PRT"
"Portugal","1980",NA,"PT","PRT"
"Portugal","2007",0.51,"PT","PRT"
"Slovak Republic","2013",0.47,"SK","SVK"
"Slovak Republic","2008",0.53,"SK","SVK"
"Slovak Republic","2012",0.43,"SK","SVK"
"Slovak Republic","2009",0.47,"SK","SVK"
"Slovak Republic","1988",NA,"SK","SVK"
"Slovak Republic","2010",0.46,"SK","SVK"
"Slovak Republic","2014",0.49,"SK","SVK"
"Slovak Republic","2000",0.43,"SK","SVK"
"Slovak Republic","1984",NA,"SK","SVK"
"Slovak Republic","1996",0.45,"SK","SVK"
"Slovak Republic","1992",0,"SK","SVK"
"Slovak Republic","2015",0.52,"SK","SVK"
"Slovak Republic","1980",NA,"SK","SVK"
"Slovak Republic","2005",0.61,"SK","SVK"
"Slovak Republic","1976",NA,"SK","SVK"
"Slovak Republic","2016",0.5,"SK","SVK"
"Slovak Republic","2007",0.53,"SK","SVK"
"Slovak Republic","2011",0.49,"SK","SVK"
"Slovak Republic","2006",0.58,"SK","SVK"
"Slovak Republic","2017",0.52,"SK","SVK"
"Slovak Republic","2018",0.52,"SK","SVK"
"Slovenia","2013",0.59,"SI","SVN"
"Slovenia","1984",NA,"SI","SVN"
"Slovenia","1976",NA,"SI","SVN"
"Slovenia","2012",0.57,"SI","SVN"
"Slovenia","2009",0.59,"SI","SVN"
"Slovenia","2005",0.67,"SI","SVN"
"Slovenia","2010",0.59,"SI","SVN"
"Slovenia","2017",0.59,"SI","SVN"
"Slovenia","2008",0.68,"SI","SVN"
