"country","year","vat_revenue_ratio"
"Germany","1984",0.513728565969569
"Greece","1984",0
"Hungary","1984",0
"Iceland","1984",0
"Ireland","1984",0.436938080120609
"Israel","1984",0
"Italy","1984",0.381335459770484
"Japan","1984",0
"Korea","1984",0
"Latvia","1984",0
"Lithuania","1984",0
"Luxembourg","1984",0.639959292250369
"Mexico","1984",0.270881048380092
"Netherlands","1984",0.494009597452557
"New Zealand","1984",0
"Norway","1984",0.634690649843064
"Poland","1984",0
"Portugal","1984",0
"Slovak Republic","1984",0
"Slovenia","1984",0
"Spain","1984",0
"Sweden","1984",0.380255309275334
"Switzerland","1984",0
"Turkey","1984",0
"United Kingdom","1984",0.443660532515245
"Australia","1988",0
"Austria","1988",0.621139035523466
"Belgium","1988",0.519596484627135
"Canada","1988",0
"Chile","1988",0
"Czech Republic","1988",0
"Denmark","1988",0.599010396965927
"Estonia","1988",0
"Finland","1988",0
"France","1988",0.61684859903732
"Germany","1988",0.494293381917722
"Greece","1988",0.459617242640311
"Hungary","1988",0
"Iceland","1988",0
"Ireland","1988",0.415603938427874
"Israel","1988",0
"Italy","1988",0.402894961518065
"Japan","1988",0
"Korea","1988",0
"Latvia","1988",0
"Lithuania","1988",0
"Luxembourg","1988",0.661936481180465
"Mexico","1988",0.254585651472297
"Netherlands","1988",0.538927853287132
"New Zealand","1988",0.890891918528252
"Norway","1988",0.692115159210783
"Poland","1988",0
"Portugal","1988",0.446855606925465
"Slovak Republic","1988",0
"Slovenia","1988",0
"Spain","1988",0.572012998633308
"Sweden","1988",0.421260477424964
"Switzerland","1988",0
"Turkey","1988",0.45139920210677
"United Kingdom","1988",0.478259935982698
"Australia","1992",0
"Austria","1992",0.606595883839102
"Belgium","1992",0.493321662945224
"Canada","1992",0.433288844408244
"Chile","1992",0.625414702992562
"Czech Republic","1992",0
"Denmark","1992",0.555312884631221
"Estonia","1992",0
"Finland","1992",0
"France","1992",0.52761068366191
"Germany","1992",0.611932979252479
"Greece","1992",0.466510491635578
"Hungary","1992",0.295513391410318
"Iceland","1992",0.6274030886847
"Ireland","1992",0.452465842009173
"Israel","1992",0
"Italy","1992",0.37074441631765
"Japan","1992",0.678398061271055
"Korea","1992",0.636250954253302
"Latvia","1992",0
"Lithuania","1992",0
"Luxembourg","1992",0.45144560292219
"Mexico","1992",0.298161047214447
"Netherlands","1992",0.554415037492242
"New Zealand","1992",0.957252519372794
"Norway","1992",0.580124686136544
"Poland","1992",0
"Portugal","1992",0.493529057589999
"Slovak Republic","1992",0
"Slovenia","1992",0
"Spain","1992",0.59613086171476
"Sweden","1992",0.405499383072068
"Switzerland","1992",0
"Turkey","1992",0.440279862311947
"United Kingdom","1992",0.425765605989172
"Australia","1996",0
"Austria","1996",0.59952893580086
"Belgium","1996",0.458402455340484
"Canada","1996",0.46739185870996
"Chile","1996",0.674058276927776
"Czech Republic","1996",0.424610788570898
"Denmark","1996",0.568791534961136
"Estonia","1996",0.734234696457882
"Finland","1996",0.540350083830759
"France","1996",0.525225419594477
"Germany","1996",0.598358061137636
"Greece","1996",0.43048295883015
"Hungary","1996",0.429063057584385
"Iceland","1996",0.538412306818597
"Ireland","1996",0.515791335337879
"Israel","1996",0.661681035183203
"Italy","1996",0.386858012802984
"Japan","1996",0.706575504063493
"Korea","1996",0.583260027223253
"Latvia","1996",0
"Lithuania","1996",0.463617142410793
"Luxembourg","1996",0.547773936170165
"Mexico","1996",0.211774223576064
"Netherlands","1996",0.541986125511171
"New Zealand","1996",0.978089395267309
"Norway","1996",0.604795122194076
"Poland","1996",0.424398058587062
"Portugal","1996",0.551398019754363
"Slovak Republic","1996",0.481711692022056
"Slovenia","1996",0
"Spain","1996",0.443497136462212
"Sweden","1996",0.501441182840999
"Switzerland","1996",0.671383851219648
"Turkey","1996",0.430001471510895
"United Kingdom","1996",0.43433992695322
"Australia","2000",0
"Austria","2000",0.60523081432372
"Belgium","2000",0.501806609620094
"Canada","2000",0.491952443338632
"Chile","2000",0.640588512994181
"Czech Republic","2000",0.418273922256461
"Denmark","2000",0.592288334658233
"Estonia","2000",0.716408079490476
"Finland","2000",0.608001432736705
"France","2000",0.509830097135227
"Germany","2000",0.601567352176132
"Greece","2000",0.49412842771692
"Hungary","2000",0.518354720796946
"Iceland","2000",0.586896645176693
"Ireland","2000",0.612625863455997
"Israel","2000",0.621352452054406
"Italy","2000",0.432990896085985
"Japan","2000",0.677905350793775
"Korea","2000",0.594799425597798
"Latvia","2000",0.506143934633667
"Lithuania","2000",0.522754260315207
"Luxembourg","2000",0.687787914815376
"Mexico","2000",0.253066864381099
"Netherlands","2000",0.56541749493728
"New Zealand","2000",0.974563738538894
"Norway","2000",0.6727825730425
"Poland","2000",0.41991347415004
"Portugal","2000",0.596631822274597
"Slovak Republic","2000",0.437851080372179
"Slovenia","2000",0.672816121332854
"Spain","2000",0.5190272736853
"Sweden","2000",0.526076762688608
"Switzerland","2000",0.73466639805746
"Turkey","2000",0.455904986983458
"United Kingdom","2000",0.435820187403629
"Australia","2005",0.558904422743087
"Austria","2005",0.583385279266395
"Belgium","2005",0.495247991146782
"Canada","2005",0.498613312146521
"Chile","2005",0.668955847174558
"Czech Republic","2005",0.559876967506169
"Denmark","2005",0.620062921047939
"Estonia","2005",0.70431958959948
"Finland","2005",0.603963632146259
"France","2005",0.519896662772211
"Germany","2005",0.5434666252127
"Greece","2005",0.470194462908052
"Hungary","2005",0.479687963967341
"Iceland","2005",0.616686265917458
"Ireland","2005",0.657705873003588
"Israel","2005",0.6152468818779
"Italy","2005",0.390763334374551
"Japan","2005",0.700922273170563
"Korea","2005",0.637870933126867
"Latvia","2005",0.568645712076789
"Lithuania","2005",0.517337350330221
"Luxembourg","2005",0.855734021688425
"Mexico","2005",0.292795909332638
"Netherlands","2005",0.548332179782911
"New Zealand","2005",1.01369052422066
"Norway","2005",0.57343834399448
"Poland","2005",0.473179029046098
"Portugal","2005",0.558300522189213
"Slovak Republic","2005",0.602898465485447
"Slovenia","2005",0.661391490333241
"Spain","2005",0.564982692779622
"Sweden","2005",0.548413030146688
"Switzerland","2005",0.718828101561924
"Turkey","2005",0.39753264774836
"United Kingdom","2005",0.434170392002886
"Australia","2006",0.539898199160176
"Austria","2006",0.565120011804111
"Belgium","2006",0.501788782850337
"Canada","2006",0.46662895737844
"Chile","2006",0.640919376660099
"Czech Republic","2006",0.523828745184336
"Denmark","2006",0.639707886018175
"Estonia","2006",0.812882751755593
"Finland","2006",0.607679747714878
"France","2006",0.520039774019661
"Germany","2006",0.559982117879811
"Greece","2006",0.461209088286193
"Hungary","2006",0.545807813875911
"Iceland","2006",0.641218225053892
"Ireland","2006",0.668285814685429
"Israel","2006",0.617926387396915
"Italy","2006",0.411051231431759
"Japan","2006",0.696299542508618
"Korea","2006",0.629308707036832
"Latvia","2006",0.60148960151503
"Lithuania","2006",0.554519445731513
"Luxembourg","2006",0.833170019459504
"Mexico","2006",0.322390550049707
"Netherlands","2006",0.56502681214275
"New Zealand","2006",1.0157428031099
"Norway","2006",0.607750437536093
"Poland","2006",0.506522079929941
"Portugal","2006",0.513818889918085
"Slovak Republic","2006",0.565760156729145
"Slovenia","2006",0.680065192052901
"Spain","2006",0.563734250171246
"Sweden","2006",0.559404982796259
"Switzerland","2006",0.737312919196066
"Turkey","2006",0.415403393881664
"United Kingdom","2006",0.43554052360646
"Australia","2007",0.537946950753145
"Austria","2007",0.581676799504085
"Belgium","2007",0.508648746625307
"Canada","2007",0.51003755080455
"Chile","2007",0.679074743130263
"Czech Republic","2007",0.535668512365951
"Denmark","2007",0.64689592420644
"Estonia","2007",0.802967999920895
"Finland","2007",0.602219265313881
"France","2007",0.51494469238592
"Germany","2007",0.542101893852105
"Greece","2007",0.480363836151331
"Hungary","2007",0.582528286144284
"Iceland","2007",0.593511719674051
"Ireland","2007",0.629211523740691
"Israel","2007",0.655591923781836
"Italy","2007",0.411237359858128
"Japan","2007",0.67592421033128
"Korea","2007",0.629104189561622
"Latvia","2007",0.607928060125769
"Lithuania","2007",0.610783126305061
"Luxembourg","2007",0.946201676707211
"Mexico","2007",0.320236374010402
"Netherlands","2007",0.581856310683828
"New Zealand","2007",0.946743328168383
"Norway","2007",0.626584994732941
"Poland","2007",0.534350102858354
"Portugal","2007",0.509130815005544
"Slovak Republic","2007",0.524015373354317
"Slovenia","2007",0.689808088493323
"Spain","2007",0.5277346936925
"Sweden","2007",0.572880840577702
"Switzerland","2007",0.730430501251632
"Turkey","2007",0.383495726891116
"United Kingdom","2007",0.437645885329466
"Australia","2008",0.490417947092479
"Austria","2008",0.585903190901482
"Belgium","2008",0.48393062734661
"Canada","2008",0.489397992500499
"Chile","2008",0.70771113347015
"Czech Republic","2008",0.564693607543508
"Denmark","2008",0.611480552742478
"Estonia","2008",0.667154108348656
"Finland","2008",0.581338794507243
"France","2008",0.501802684869367
"Germany","2008",0.546080154405537
"Greece","2008",0.456657715037564
"Hungary","2008",0.56477541551897
"Iceland","2008",0.521634391184228
"Ireland","2008",0.548513193478675
"Israel","2008",0.644257876412755
"Italy","2008",0.392019138786391
"Japan","2008",0.664873082071189
"Korea","2008",0.628708295706964
"Latvia","2008",0.490612614030956
"Lithuania","2008",0.581615210379072
"Luxembourg","2008",0.947198438976236
"Mexico","2008",0.333623420833574
"Netherlands","2008",0.562700389025019
"New Zealand","2008",0.95593798847667
"Norway","2008",0.568343731071146
"Poland","2008",0.496899669149767
"Portugal","2008",0.491773791784254
"Slovak Republic","2008",0.526705579666711
"Slovenia","2008",0.683344671429848
"Spain","2008",0.427196307738732
"Sweden","2008",0.581299023359588
"Switzerland","2008",0.735039919359151
"Turkey","2008",0.369938528088264
"United Kingdom","2008",0.418716269578974
"Australia","2009",0.506998966463989
"Austria","2009",0.579224637345441
"Belgium","2009",0.464397355083685
"Canada","2009",0.491830771937382
"Chile","2009",0.600627184868357
"Czech Republic","2009",0.549452688515749
"Denmark","2009",0.579969963889586
"Estonia","2009",0.730501363604336
"Finland","2009",0.556861847184428
"France","2009",0.470743471584724
"Germany","2009",0.545934088256952
"Greece","2009",0.38705122830954
"Hungary","2009",0.615746669312147
"Iceland","2009",0.446170637953549
"Ireland","2009",0.45685982346122
"Israel","2009",0.651846704231389
"Italy","2009",0.363133186850369
"Japan","2009",0.658127584316437
"Korea","2009",0.650321354957939
"Latvia","2009",0.382152249367793
"Lithuania","2009",0.467099055912606
"Luxembourg","2009",0.963738956351385
"Mexico","2009",0.30046106494508
"Netherlands","2009",0.517244716390255
"New Zealand","2009",0.964319475894212
"Norway","2009",0.544956233410107
"Poland","2009",0.451606172492312
"Portugal","2009",0.430181007454198
"Slovak Republic","2009",0.470433984223556
"Slovenia","2009",0.592099940819099
"Spain","2009",0.313953458246022
"Sweden","2009",0.567277627020119
"Switzerland","2009",0.701338861093167
"Turkey","2009",0.357561388246163
"United Kingdom","2009",0.421344038966475
"Australia","2010",0.491304885262079
"Austria","2010",0.578650952564436
"Belgium","2010",0.480348845940682
"Canada","2010",0.491233638442677
"Chile","2010",0.630317281327471
"Czech Republic","2010",0.526543300480886
"Denmark","2010",0.574708690578689
"Estonia","2010",0.669232498847004
"Finland","2010",0.548512627832081
"France","2010",0.476564155769743
"Germany","2010",0.54015468578722
"Greece","2010",0.439658196343825
"Hungary","2010",0.521733434078211
"Iceland","2010",0.430366999943673
"Ireland","2010",0.473428406446237
"Israel","2010",0.651361727049268
"Italy","2010",0.403583508568571
"Japan","2010",0.679506592182125
"Korea","2010",0.674460548745269
"Latvia","2010",0.422973087548857
"Lithuania","2010",0.486830532198844
"Luxembourg","2010",0.990828015326429
"Mexico","2010",0.321630656444226
"Netherlands","2010",0.540171503882601
"New Zealand","2010",1.08518101230841
"Norway","2010",0.558337288074443
"Poland","2010",0.472079389298788
"Portugal","2010",0.476066360663471
"Slovak Republic","2010",0.457143399692789
"Slovenia","2010",0.591557295296778
"Spain","2010",0.446346244071707
"Sweden","2010",0.586975088794099
"Switzerland","2010",0.717146039653049
"Turkey","2010",0.412297790857147
"United Kingdom","2010",0.429711476685893
"Australia","2011",0.470689465783018
"Austria","2011",0.575160871191124
"Belgium","2011",0.475403772871011
"Canada","2011",0.477337755991498
"Chile","2011",0.64059100289376
"Czech Republic","2011",0.549690016486805
"Denmark","2011",0.584266411208653
"Estonia","2011",0.670448794986073
"Finland","2011",0.557867968133061
"France","2011",0.483086106543404
"Germany","2011",0.55284816532232
"Greece","2011",0.373703820817729
"Hungary","2011",0.516994972818278
"Iceland","2011",0.43602512166126
"Ireland","2011",0.460741549114588
"Israel","2011",0.654060744666686
"Italy","2011",0.401191088148982
"Japan","2011",0.678616697296507
"Korea","2011",0.67022160505786
"Latvia","2011",0.421283430716933
"Lithuania","2011",0.509555898578728
"Luxembourg","2011",1.05668084413177
"Mexico","2011",0.313918394689451
"Netherlands","2011",0.517834553042574
"New Zealand","2011",0.919618281906418
"Norway","2011",0.562366428080348
"Poland","2011",0.474741618505567
"Portugal","2011",0.45377104331275
"Slovak Republic","2011",0.481405916514168
"Slovenia","2011",0.594009876629358
"Spain","2011",0.385167958723138
"Sweden","2011",0.579549036272104
"Switzerland","2011",0.706872121733998
"Turkey","2011",0.439852532725039
"United Kingdom","2011",0.430928362765278
"Australia","2012",0.467195646824494
"Austria","2012",0.586919292661924
"Belgium","2012",0.47635036043783
"Canada","2012",0.471328728372367
"Chile","2012",0.64563394693061
"Czech Republic","2012",0.568660600212091
"Denmark","2012",0.586333462576669
"Estonia","2012",0.689766379494155
"Finland","2012",0.559389625588056
"France","2012",0.483041968080722
"Germany","2012",0.548951682292742
"Greece","2012",0.369131592159951
"Hungary","2012",0.522364852899303
"Iceland","2012",0.447203978401448
"Ireland","2012",0.442784429671111
"Israel","2012",0.641137369599031
"Italy","2012",0.377536066235929
"Japan","2012",0.681897463002114
"Korea","2012",0.687992375382104
"Latvia","2012",0.458705563198266
"Lithuania","2012",0.498502446211909
"Luxembourg","2012",1.11024163940386
"Mexico","2012",0.313908829864471
"Netherlands","2012",0.515894956319228
"New Zealand","2012",0.928515696663064
"Norway","2012",0.568554851515383
"Poland","2012",0.429006800457947
"Portugal","2012",0.472447306951266
"Slovak Republic","2012",0.428574651308034
"Slovenia","2012",0.579745444575139
"Spain","2012",0.404118372671133
"Sweden","2012",0.562773587723805
"Switzerland","2012",0.709244541621409
"Turkey","2012",0.404300020123606
"United Kingdom","2012",0.425781583045022
"Australia","2013",0.494887726085523
"Austria","2013",0.583845377348007
"Belgium","2013",0.47493229774738
"Canada","2013",0.469621537063427
"Chile","2013",0.637910442501669
"Czech Republic","2013",0.567982087694536
"Denmark","2013",0.569043391126965
"Estonia","2013",0.66305152424901
"Finland","2013",0.551506657323055
"France","2013",0.483017640749106
"Germany","2013",0.544024728166151
"Greece","2013",0.359776147489019
"Hungary","2013",0.522674408338248
"Iceland","2013",0.449371523596307
"Ireland","2013",0.446732914217138
"Israel","2013",0.643168703186387
"Italy","2013",0.371966228788423
"Japan","2013",0.694471493946579
"Korea","2013",0.669242863881629
"Latvia","2013",0.491648758644068
"Lithuania","2013",0.495247563296456
"Luxembourg","2013",1.16594129773046
"Mexico","2013",0.284151078536842
"Netherlands","2013",0.471629156117989
"New Zealand","2013",0.933812450268339
"Norway","2013",0.568934662633885
"Poland","2013",0.424784026135982
"Portugal","2013",0.458747463006593
"Slovak Republic","2013",0.462482426412319
"Slovenia","2013",0.601906459423934
"Spain","2013",0.38748565011524
"Sweden","2013",0.559744877330602
"Switzerland","2013",0.707837566603461
"Turkey","2013",0.438792781932007
"United Kingdom","2013",0.427416902020421
"Australia","2014",0.484352186885038
"Austria","2014",0.581548019729405
"Belgium","2014",0.473521713334396
"Canada","2014",0.474896538948074
"Chile","2014",0.635162131021544
"Czech Republic","2014",0.584388568795991
"Denmark","2014",0.574223848972526
"Estonia","2014",0.697810319567046
"Finland","2014",0.542992338271503
"France","2014",0.481709458465818
"Germany","2014",0.547669406184961
"Greece","2014",0.369899975249352
"Hungary","2014",0.560282618365676
"Iceland","2014",0.455489850125124
"Ireland","2014",0.484342527005503
"Israel","2014",0.627506880135321
"Italy","2014",0.36700953480722
"Japan","2014",0.687590467820163
"Korea","2014",0.692071068967643
"Latvia","2014",0.506100728664033
"Lithuania","2014",0.504643678661337
"Luxembourg","2014",1.2474565313124
"Mexico","2014",0.321338552498364
"Netherlands","2014",0.468596681969462
"New Zealand","2014",0.949343370156744
"Norway","2014",0.561574851213185
"Poland","2014",0.436203895691829
"Portugal","2014",0.48511254225391
"Slovak Republic","2014",0.485318044537937
"Slovenia","2014",0.590631982468831
"Spain","2014",0.406427261455261
"Sweden","2014",0.56680624436407
"Switzerland","2014",0.698455383839677
"Turkey","2014",0.398955325784995
"United Kingdom","2014",0.43384941239917
"Australia","2015",0.495545496897089
"Austria","2015",0.58895997712564
"Belgium","2015",0.468344652876705
"Canada","2015",0.475086511535308
"Chile","2015",0.642550959621906
"Czech Republic","2015",0.587342193235465
"Denmark","2015",0.573526842925167
"Estonia","2015",0.729103999536852
"Finland","2015",0.533878523080525
"France","2015",0.485072744899431
"Germany","2015",0.555961693374702
"Greece","2015",0.383647353956222
"Hungary","2015",0.596712802594611
"Iceland","2015",0.524289597466797
"Ireland","2015",0.484759438197319
"Israel","2015",0.624583395914838
"Italy","2015",0.377371504948421
"Japan","2015",0.728203213265697
"Korea","2015",0.636067104540328
"Latvia","2015",0.520651810028962
"Lithuania","2015",0.509204814364489
"Luxembourg","2015",0.955762392001671
"Mexico","2015",0.321940337203395
"Netherlands","2015",0.487597335581894
"New Zealand","2015",0.95932608776232
"Norway","2015",0.558441281337383
"Poland","2015",0.437557067388469
"Portugal","2015",0.495145945911459
"Slovak Republic","2015",0.510256284906862
"Slovenia","2015",0.591460387633486
"Spain","2015",0.425498168627791
"Sweden","2015",0.583511565081778
"Switzerland","2015",0.687045780392545
"Turkey","2015",0.41640592899826
"United Kingdom","2015",0.441162837936398
"Australia","2016",0.495677137783973
"Austria","2016",0.595346920500117
"Belgium","2016",0.476392998987602
"Canada","2016",0.474503207079933
"Chile","2016",0.638025880525371
"Czech Republic","2016",0.600302406645114
"Denmark","2016",0.596063795426487
"Estonia","2016",0.728150828092231
"Finland","2016",0.543890115085756
"France","2016",0.48566405924343
"Germany","2016",0.556567367932321
"Greece","2016",0.436878506277984
"Hungary","2016",0.567176393235143
"Iceland","2016",0.546822043581059
"Ireland","2016",0.498533689864113
"Israel","2016",0.632540965239364
"Italy","2016",0.378756793044304
"Japan","2016",0.7125070110352
"Korea","2016",0.696451079081173
"Latvia","2016",0.55204813174365
"Lithuania","2016",0.506629640715944
"Luxembourg","2016",0.920716527656256
"Mexico","2016",0.334129712488695
"Netherlands","2016",0.514299988155268
"New Zealand","2016",0.95224411225627
"Norway","2016",0.565921326183334
"Poland","2016",0.441385620326629
"Portugal","2016",0.492153165545173
"Slovak Republic","2016",0.495470639649474
"Slovenia","2016",0.583747031500922
"Spain","2016",0.430877668728623
"Sweden","2016",0.597513703470289
"Switzerland","2016",0.682580340126438
"Turkey","2016",0.400067337416955
"United Kingdom","2016",0.438381144265963
"Australia","2017",0.483468548356666
"Austria","2017",0.596739371206216
"Belgium","2017",0.46859621010934
"Canada","2017",0.489217260896614
"Chile","2017",0.638195438001446
"Czech Republic","2017",0.620487760001823
"Denmark","2017",0.613881601176001
"Estonia","2017",0.739066104744784
"Finland","2017",0.561811365308451
"France","2017",0.498745384563855
"Germany","2017",0.564799926917352
"Greece","2017",0.421127539656337
"Hungary","2017",0.571183597778278
"Iceland","2017",0.574136593542137
"Ireland","2017",0.482822910673702
"Israel","2017",0.625631937197765
"Italy","2017",0.387579120275391
"Japan","2017",0.717716684683885
"Korea","2017",0.68758794691922
"Latvia","2017",0.549340919945821
"Lithuania","2017",0.52791675026186
"Luxembourg","2017",0.875350261015676
"Mexico","2017",0.318108701240359
"Netherlands","2017",0.519348068257175
"New Zealand","2017",0.985858115579352
"Norway","2017",0.571291483729746
"Poland","2017",0.495426698641405
"Portugal","2017",0.509631104397442
"Slovak Republic","2017",0.515818030540571
"Slovenia","2017",0.586046319867356
"Spain","2017",0.436562093245564
"Sweden","2017",0.587694637748296
"Switzerland","2017",0.68273858766526
"Turkey","2017",0.405824064998515
"United Kingdom","2017",0.4438398287648
"Australia","2018",0.483468548356666
"Austria","2018",0.598816337341742
"Belgium","2018",0.473699408871098
"Canada","2018",0.488682223414773
"Chile","2018",0.642423625324012
"Czech Republic","2018",0.612479629827038
"Denmark","2018",0.622633280065675
"Estonia","2018",0.741708251023252
"Finland","2018",0.571480542269872
"France","2018",0.510312008325459
"Germany","2018",0.570055410492846
"Greece","2018",0.421127539656337
"Hungary","2018",0.576214884192584
"Iceland","2018",0.524679461355533
"Ireland","2018",0.491819728201904
"Israel","2018",0.632412040044468
"Italy","2018",0.384489591985391
"Japan","2018",0.721711144874476
"Korea","2018",0.681773559935852
"Latvia","2018",0.583308603828106
"Lithuania","2018",0.525382701464273
"Luxembourg","2018",0.908029447826569
"Mexico","2018",0.338391775002841
"Netherlands","2018",0.525908901692046
"New Zealand","2018",0.988738942728618
"Norway","2018",0.582437284683805
"Poland","2018",0.521142967815541
"Portugal","2018",0.522140522091074
"Slovak Republic","2018",0.520982002954997
"Slovenia","2018",0.603436138128241
"Spain","2018",0.448488403477709
"Sweden","2018",0.589533968667522
"Switzerland","2018",0.694678946569888
"Turkey","2018",0.398962526651781
"United Kingdom","2018",0.451963815759587
