"iso_3","tax","variable","year","value","country","iso_2"
"AUS","5111 VAT","% of GDP","2002",3.902,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2002",13.095,"Australia","AU"
"AUS","5111 VAT","% of GDP","2003",3.963,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2003",13.226,"Australia","AU"
"AUS","5111 VAT","% of GDP","2004",3.866,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2004",12.77,"Australia","AU"
"AUS","5111 VAT","% of GDP","2005",3.926,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2005",13.097,"Australia","AU"
"AUS","5111 VAT","% of GDP","2006",3.792,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2006",12.904,"Australia","AU"
"AUS","5111 VAT","% of GDP","2007",3.77,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2007",12.77,"Australia","AU"
"AUS","5111 VAT","% of GDP","2008",3.383,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2008",12.609,"Australia","AU"
"AUS","5111 VAT","% of GDP","2009",3.578,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2009",14.012,"Australia","AU"
"AUS","5111 VAT","% of GDP","2010",3.395,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2010",13.435,"Australia","AU"
"AUS","5111 VAT","% of GDP","2011",3.258,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2011",12.584,"Australia","AU"
"AUS","5111 VAT","% of GDP","2012",3.275,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2012",12.17,"Australia","AU"
"AUS","5111 VAT","% of GDP","2013",3.473,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2013",12.811,"Australia","AU"
"AUS","5111 VAT","% of GDP","2014",3.475,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2014",12.744,"Australia","AU"
"AUS","5111 VAT","% of GDP","2015",3.632,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2015",13.017,"Australia","AU"
"AUS","5111 VAT","% of GDP","2016",3.557,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2016",12.878,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2017",12.152,"Australia","AU"
"AUS","5111 VAT","% of GDP","2017",3.463,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2018",11.666,"Australia","AU"
"AUS","5111 VAT","% of GDP","2018",3.346,"Australia","AU"
"AUS","5111 VAT","% of Total Revenue","2019",11.666,"Australia","AU"
"AUS","5111 VAT","% of GDP","2019",3.346,"Australia","AU"
"AUS","5112 Sales","% of GDP","2000",0.28,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2000",0.92,"Australia","AU"
"AUS","5112 Sales","% of GDP","2001",0.105,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2001",0.363,"Australia","AU"
"AUS","5112 Sales","% of GDP","2002",0.112,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2002",0.375,"Australia","AU"
"AUS","5112 Sales","% of GDP","2003",0.116,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2003",0.388,"Australia","AU"
"AUS","5112 Sales","% of GDP","2004",0.106,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2004",0.352,"Australia","AU"
"AUS","5112 Sales","% of GDP","2005",0.097,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2005",0.324,"Australia","AU"
"AUS","5112 Sales","% of GDP","2006",0.099,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2006",0.337,"Australia","AU"
"AUS","5112 Sales","% of GDP","2007",0.094,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2007",0.318,"Australia","AU"
"AUS","5112 Sales","% of GDP","2008",0.086,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2008",0.322,"Australia","AU"
"AUS","5112 Sales","% of GDP","2009",0.096,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2009",0.375,"Australia","AU"
"AUS","5112 Sales","% of GDP","2010",0.087,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2010",0.345,"Australia","AU"
"AUS","5112 Sales","% of GDP","2011",0.077,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2011",0.298,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2012",0.278,"Australia","AU"
"AUS","5112 Sales","% of GDP","2012",0.075,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2013",0.3,"Australia","AU"
"AUS","5112 Sales","% of GDP","2013",0.081,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2014",0.309,"Australia","AU"
"AUS","5112 Sales","% of GDP","2014",0.084,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2015",0.324,"Australia","AU"
"AUS","5112 Sales","% of GDP","2015",0.091,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2016",0.313,"Australia","AU"
"AUS","5112 Sales","% of GDP","2016",0.086,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2017",0.311,"Australia","AU"
"AUS","5112 Sales","% of GDP","2017",0.089,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2018",0.301,"Australia","AU"
"AUS","5112 Sales","% of GDP","2018",0.086,"Australia","AU"
"AUS","5112 Sales","% of Total Revenue","2019",0.301,"Australia","AU"
"AUS","5112 Sales","% of GDP","2019",0.086,"Australia","AU"
"AUS","5121 Excise","% of GDP","2000",2.804,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2000",9.205,"Australia","AU"
"AUS","5121 Excise","% of GDP","2001",2.717,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2001",9.393,"Australia","AU"
"AUS","5121 Excise","% of GDP","2002",2.702,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2002",9.067,"Australia","AU"
"AUS","5121 Excise","% of GDP","2003",2.543,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2003",8.487,"Australia","AU"
"AUS","5121 Excise","% of GDP","2004",2.477,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2004",8.184,"Australia","AU"
"AUS","5121 Excise","% of GDP","2005",2.288,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2005",7.632,"Australia","AU"
"AUS","5121 Excise","% of GDP","2006",2.169,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2006",7.381,"Australia","AU"
"AUS","5121 Excise","% of GDP","2007",2.069,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2007",7.008,"Australia","AU"
"AUS","5121 Excise","% of GDP","2008",2,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2008",7.456,"Australia","AU"
"AUS","5121 Excise","% of GDP","2009",1.95,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2009",7.637,"Australia","AU"
"AUS","5121 Excise","% of GDP","2010",1.884,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2010",7.456,"Australia","AU"
"AUS","5121 Excise","% of GDP","2011",1.756,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2011",6.782,"Australia","AU"
"AUS","5121 Excise","% of GDP","2012",1.72,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2012",6.392,"Australia","AU"
"AUS","5121 Excise","% of GDP","2013",1.656,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2013",6.109,"Australia","AU"
"AUS","5121 Excise","% of GDP","2014",1.508,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2014",5.531,"Australia","AU"
"AUS","5121 Excise","% of GDP","2015",1.357,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2015",4.865,"Australia","AU"
"AUS","5121 Excise","% of GDP","2016",1.291,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2016",4.675,"Australia","AU"
"AUS","5121 Excise","% of GDP","2017",1.28,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2017",4.49,"Australia","AU"
"AUS","5121 Excise","% of GDP","2018",1.258,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2018",4.387,"Australia","AU"
"AUS","5121 Excise","% of GDP","2019",1.258,"Australia","AU"
"AUS","5121 Excise","% of Total Revenue","2019",4.387,"Australia","AU"
"AUT","5000 Consumption","% of GDP","2000",12.404,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2000",29.335,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2001",12.374,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2001",28.196,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2002",12.505,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2002",29.287,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2003",12.372,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2003",29.173,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2004",12.265,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2004",29.232,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2005",12.026,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2005",29.324,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2006",11.602,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2006",28.712,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2007",11.483,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2007",28.319,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2008",11.504,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2008",27.794,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2009",11.799,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2009",28.792,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2010",11.74,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2010",28.665,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2011",11.884,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2011",28.901,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2012",11.996,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2012",28.722,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2013",11.948,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2013",28.024,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2014",11.902,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2014",27.873,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2015",11.928,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2015",27.658,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2016",11.924,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2016",28.535,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2017",11.879,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2017",28.449,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2018",11.704,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2018",27.726,"Austria","AT"
"AUT","5000 Consumption","% of GDP","2019",11.688,"Austria","AT"
"AUT","5000 Consumption","% of Total Revenue","2019",27.538,"Austria","AT"
"AUT","5111 VAT","% of GDP","2000",7.892,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2000",18.663,"Austria","AT"
"AUT","5111 VAT","% of GDP","2001",7.828,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2001",17.838,"Austria","AT"
"AUT","5111 VAT","% of GDP","2002",7.927,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2002",18.565,"Austria","AT"
"AUT","5111 VAT","% of GDP","2003",7.722,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2003",18.208,"Austria","AT"
"AUT","5111 VAT","% of GDP","2004",7.669,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2004",18.278,"Austria","AT"
"AUT","5111 VAT","% of GDP","2005",7.644,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2005",18.638,"Austria","AT"
"AUT","5111 VAT","% of GDP","2006",7.359,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2006",18.213,"Austria","AT"
"AUT","5111 VAT","% of GDP","2007",7.374,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2007",18.186,"Austria","AT"
"AUT","5111 VAT","% of GDP","2008",7.457,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2008",18.017,"Austria","AT"
"AUT","5111 VAT","% of GDP","2009",7.7,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2009",18.789,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2010",18.739,"Austria","AT"
"AUT","5111 VAT","% of GDP","2010",7.675,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2011",18.385,"Austria","AT"
"AUT","5111 VAT","% of GDP","2011",7.56,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2012",18.442,"Austria","AT"
"AUT","5111 VAT","% of GDP","2012",7.702,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2013",18.045,"Austria","AT"
"AUT","5111 VAT","% of GDP","2013",7.693,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2014",17.862,"Austria","AT"
"AUT","5111 VAT","% of GDP","2014",7.627,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2015",17.702,"Austria","AT"
"AUT","5111 VAT","% of GDP","2015",7.634,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2016",18.289,"Austria","AT"
"AUT","5111 VAT","% of GDP","2016",7.643,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2017",18.31,"Austria","AT"
"AUT","5111 VAT","% of GDP","2017",7.646,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2018",18.01,"Austria","AT"
"AUT","5111 VAT","% of GDP","2018",7.602,"Austria","AT"
"AUT","5111 VAT","% of Total Revenue","2019",17.992,"Austria","AT"
"AUT","5111 VAT","% of GDP","2019",7.637,"Austria","AT"
"AUT","5112 Sales","% of GDP","2000",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2000",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2001",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2001",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2002",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2002",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2003",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2003",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2004",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2004",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2005",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2005",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2006",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2006",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2007",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2007",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2008",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2008",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2009",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2009",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2010",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2010",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2011",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2011",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2012",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2012",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2013",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2013",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2014",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2014",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2015",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2015",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2016",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2016",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2017",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2017",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2018",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2018",0,"Austria","AT"
"AUT","5112 Sales","% of Total Revenue","2019",0,"Austria","AT"
"AUT","5112 Sales","% of GDP","2019",0,"Austria","AT"
"AUT","5121 Excise","% of GDP","2000",2.568,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2000",6.072,"Austria","AT"
"AUT","5121 Excise","% of GDP","2001",2.597,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2001",5.918,"Austria","AT"
"AUT","5121 Excise","% of GDP","2002",2.617,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2002",6.13,"Austria","AT"
"AUT","5121 Excise","% of GDP","2003",2.682,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2003",6.325,"Austria","AT"
"AUT","5121 Excise","% of GDP","2004",2.696,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2004",6.427,"Austria","AT"
"AUT","5121 Excise","% of GDP","2005",2.592,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2005",6.32,"Austria","AT"
"AUT","5121 Excise","% of GDP","2006",2.43,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2006",6.014,"Austria","AT"
"AUT","5121 Excise","% of GDP","2007",2.381,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2007",5.871,"Austria","AT"
"AUT","5121 Excise","% of GDP","2008",2.337,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2008",5.647,"Austria","AT"
"AUT","5121 Excise","% of GDP","2009",2.331,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2009",5.688,"Austria","AT"
"AUT","5121 Excise","% of GDP","2010",2.339,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2010",5.711,"Austria","AT"
"AUT","5121 Excise","% of GDP","2011",2.409,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2011",5.86,"Austria","AT"
"AUT","5121 Excise","% of GDP","2012",2.373,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2012",5.682,"Austria","AT"
"AUT","5121 Excise","% of GDP","2013",2.346,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2013",5.502,"Austria","AT"
"AUT","5121 Excise","% of GDP","2014",2.263,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2014",5.3,"Austria","AT"
"AUT","5121 Excise","% of GDP","2015",2.251,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2015",5.219,"Austria","AT"
"AUT","5121 Excise","% of GDP","2016",2.217,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2016",5.305,"Austria","AT"
"AUT","5121 Excise","% of GDP","2017",2.234,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2017",5.35,"Austria","AT"
"AUT","5121 Excise","% of GDP","2018",2.125,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2018",5.034,"Austria","AT"
"AUT","5121 Excise","% of GDP","2019",2.061,"Austria","AT"
"AUT","5121 Excise","% of Total Revenue","2019",4.856,"Austria","AT"
"BEL","5000 Consumption","% of GDP","2000",11.345,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2000",25.872,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2001",10.911,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2001",24.973,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2002",11.008,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2002",25.069,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2003",10.966,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2003",25.301,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2004",11.166,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2004",25.686,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2005",11.244,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2005",25.933,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2006",11.18,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2006",25.869,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2007",11.113,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2007",25.892,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2008",11.034,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2008",25.311,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2009",10.974,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2009",25.7,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2010",11.199,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2010",26.116,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2011",11.136,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2011",25.596,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2012",11.425,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2012",25.772,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2013",11.207,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2013",24.884,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2014",11.021,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2014",24.624,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2015",10.855,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2015",24.598,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2016",10.974,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2016",25.331,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2017",10.961,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2017",25.027,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2018",11.07,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2018",25.189,"Belgium","BE"
"BEL","5000 Consumption","% of GDP","2019",11.021,"Belgium","BE"
"BEL","5000 Consumption","% of Total Revenue","2019",25.681,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2000",7.065,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2000",16.113,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2001",6.721,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2001",15.384,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2002",6.796,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2002",15.476,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2003",6.665,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2003",15.378,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2004",6.778,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2004",15.592,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2005",6.883,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2005",15.875,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2006",6.933,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2006",16.041,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2007",6.945,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2007",16.181,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2008",6.852,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2008",15.717,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2009",6.805,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2009",15.937,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2010",6.956,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2010",16.222,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2011",6.91,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2011",15.882,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2012",6.951,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2012",15.68,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2013",6.936,"Belgium","BE"
"BEL","5111 VAT","% of Total Revenue","2013",15.401,"Belgium","BE"
"BEL","5111 VAT","% of GDP","2014",6.828,"Belgium","BE"
